RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,cos(RI+Na),cos(RI+Mg),cos(RI+Al),cos(RI+Si),cos(RI+K),cos(RI+Ca),cos(RI+Ba),cos(RI+Fe),cos(Na+Mg),cos(Na+Al),cos(Na+Si),cos(Na+K),cos(Na+Ca),cos(Na+Ba),cos(Na+Fe),cos(Mg+Al),cos(Mg+Si),cos(Mg+K),cos(Mg+Ca),cos(Mg+Ba),cos(Mg+Fe),cos(Al+Si),cos(Al+K),cos(Al+Ca),cos(Al+Ba),cos(Al+Fe),cos(Si+K),cos(Si+Ca),cos(Si+Ba),cos(Si+Fe),cos(K+Ca),cos(K+Ba),cos(K+Fe),cos(Ca+Ba),cos(Ca+Fe),cos(Ba+Fe)
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,-0.09838364868576967,0.2602885283746603,-0.9978305228706219,0.7759896755053627,-0.576888010701818,-0.9836764028953422,0.05505847108065577,-0.18386167910662807,-0.8906440315844856,-0.14234789107731366,-0.4562691638171398,0.6795631096835295,-0.3798625938681051,0.9882221982578048,0.9235231208640653,0.30278266187032354,0.3041252155417241,-0.5500206639064251,0.526455126081828,-0.9497352095434961,-0.848100031710408,0.8031552984346968,-0.6124875656583851,-0.9747445446749893,0.010796117058267392,-0.2272020946930871,0.04255978181860008,0.9243724589983973,-0.5870640462090193,-0.37780770097834254,-0.7870537770643236,0.7838216658808492,0.6137457494888116,-0.23383324016862364,-0.45824383537103797,0.9713379748520297
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,-0.1794851317404296,0.4486382169489055,-0.9380065558774585,0.6443726621200252,-0.5199852420726513,-0.7943545477965223,0.053141283161452724,0.053141283161452724,-0.7302990367002146,0.06711644974427175,-0.5511968398064574,0.6721930835534681,-0.8073502984599275,0.9728325656974354,0.9728325656974354,0.21589760269185415,0.2945838475183514,-0.43711544130702784,0.9406110315852104,-0.8686094366471648,-0.8686094366471648,0.4372806189609532,-0.294759352997261,-0.9190148868875644,0.2962808729253187,0.2962808729253187,-0.2157182702380314,0.9938004344821306,-0.7293883021240362,-0.7293883021240362,-0.9651506312230295,0.8253356149096783,0.8253356149096783,-0.6488090927025189,-0.6488090927025189,1.0
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,-0.2558463194985491,0.23138494454453903,-0.9746370999569146,0.8240156703575794,-0.5932529253993811,-0.9900602065608128,0.05487874322593038,-0.18403860750988035,-0.824183878421875,-0.14234789107731366,-0.231673829783726,0.5372447313175408,-0.48786979380449425,0.9512201246101124,0.8506218777929884,0.11734006757595546,0.25613337893304083,-0.5583445343691101,0.46570022477569695,-0.9586980828436685,-0.8636111153905661,0.7529758165643597,-0.49618891270599885,-0.9996819412301848,0.169967142900241,-0.06914844865406196,0.14209011996687584,0.9388886398316535,-0.5204922624215538,-0.3026076175897515,-0.7745595062295167,0.7712460149971067,0.5978339822872983,-0.19476549993116135,-0.42233370833176975,0.9713379748520297
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,-0.23800670071945884,0.3570343165836011,-0.9379545526979539,0.7833596304886268,-0.46769720145879284,-0.8903413184990957,0.053291070613611595,-0.11641907714452797,-0.7570326932278164,0.007166879799185057,-0.3181694543738893,0.6721930835534694,-0.7309054730885345,0.9571997356932865,0.8944353405857385,0.11734006757595546,0.19770878299582717,-0.5748239465332692,0.8101604153015614,-0.9137372031415447,-0.8318257152467456,0.6072324383038485,-0.23692904868467468,-0.9747445446749893,0.2962808729253187,0.13042370873814554,-0.07735001976165862,0.9958251061636474,-0.5789394232697471,-0.432647570452472,-0.8752818770834654,0.8577086813638242,0.7583618759905081,-0.5020939611283969,-0.6411672671296018,0.9855847669095608
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,0.009536796585433719,0.38503063790612563,-0.9511172542906252,0.8306102288450405,-0.5027988824817018,-0.8293505383010462,0.053141283161452724,0.053141283161452724,-0.8813724903622346,0.21546397609860915,-0.4739735628314786,0.811764300246999,-0.6362654726135514,0.9990483893197613,0.9990483893197613,0.18651236942257574,0.08890248541486119,-0.5161835717748248,0.8886650518714385,-0.9011387094668886,-0.9011387094668886,0.6979798590772273,-0.31381055935888247,-0.9267150209658546,0.2578500325326696,0.2578500325326696,0.04255978181860008,0.994109788168103,-0.5119277164778855,-0.5119277164778855,-0.9411505223377324,0.8364626499151869,0.8364626499151869,-0.6020119026848236,-0.6020119026848236,1.0
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,-0.18929396208876778,0.33840466512021306,-0.9233875698773071,0.8017291162941643,-0.5027815943126127,-0.8856835907412722,0.05316125489089792,0.05316125489089792,-0.8008777679717847,0.09701411442317169,-0.33706523576944736,0.6795631096835295,-0.7030289574653886,0.9704688648082586,0.9704688648082586,0.05757915612384602,0.18789645300937388,-0.5583445343691101,0.8042579229121282,-0.9216800341052034,-0.9216800341052034,0.5992569669680622,-0.23692904868467468,-0.9810046215940661,0.3342377271245026,0.3342377271245026,-0.00742729107113068,0.9986788487114799,-0.5542214723793917,-0.5542214723793917,-0.8983585839090317,0.8364626499151869,0.8364626499151869,-0.5107168432519059,-0.5107168432519059,1.0
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,-0.06063584055004134,0.4577394891109677,-0.8943802086969551,0.7176435193207735,-0.528679117335662,-0.701666889809615,0.052931578720444836,0.052931578720444836,-0.8008777679717847,0.29281249983584723,-0.5677729964669367,0.7494076215820767,-0.8189894960235738,0.9935511246362645,0.9935511246362645,0.11734006757595546,0.18789645300937388,-0.41904111212235556,0.9807811689476358,-0.8636111153905661,-0.8636111153905661,0.42826565386113796,-0.19788881460910904,-0.9067764503038206,0.3993395294062732,0.3993395294062732,-0.10722084852347653,0.9917435630422239,-0.6574483660720191,-0.6574483660720191,-0.9934202380925269,0.8196480178454795,0.8196480178454795,-0.7486466455973987,-0.7486466455973987,1.0
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,-0.9849007204032099,0.6127779043982986,-0.7454193242276779,-0.8107705976786914,-0.10099120847764133,-0.3179953083127941,0.04881691677709139,0.04881691677709139,0.8023608804193184,-0.8969548417022889,-0.6239584352341524,-0.36425531546343326,-0.051921544821895566,-0.22099351850480609,-0.22099351850480609,0.02760751145421152,0.9823381583566471,-0.6536436208636119,0.9074467814501962,-0.7593990591375079,-0.7593990591375079,-0.9999780147841181,0.5062202572327784,-0.8166453193414416,0.6294120265736969,0.6294120265736969,-0.7339811310055465,0.3888539660057958,-0.6242454385128063,-0.6242454385128063,-0.9922253254526034,0.9887710779360422,0.9887710779360422,-0.9624854679762374,-0.9624854679762374,1.0
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,-0.958571155979828,0.5113208228321714,-0.9036914159161198,-0.18720626816559402,-0.008313577435851182,-0.5534195841377669,0.051663316735140796,0.051663316735140796,0.34406274621499944,-0.8092257615331789,-0.36515377013192074,0.17624157161241205,-0.697530186973986,0.23494981853982308,0.23494981853982308,0.19632740626677755,0.8996730468727753,-0.7970466407920116,0.9985622891321232,-0.8318257152467456,-0.8318257152467456,-0.5033119781891744,0.32479628443877623,-0.7989662576069335,0.3809248243668818,0.3809248243668818,-0.9970652789796555,0.7829459230080884,-0.990680492090783,-0.990680492090783,-0.8893942467775822,0.9982005399352042,0.9982005399352042,-0.8603818127797268,-0.8603818127797268,1.0
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,-0.38958694414549283,0.3381599935076955,-0.9978387646352395,0.40768981586334846,-0.4675822919691802,-0.8615039664631565,0.05342088543570617,-0.01655291719790418,-0.6584516211663125,-0.5420150349464431,-0.6002374654987003,0.545651992772727,-0.8622258585018747,0.8988625176184495,0.866010098357455,0.494805518914805,0.64346784257364,-0.5910734367830315,0.8329544506226041,-0.9216800341052034,-0.8922884481070684,0.5584968911839864,-0.6124875656583851,-0.7614676440560533,-0.11892156929661223,-0.18807683889288013,-0.5290047595727099,0.8720558030731641,-0.8900374723152432,-0.8559717097603539,-0.9027062216819098,0.8577086813638242,0.8196480178454795,-0.5530481199123021,-0.6099665403862415,0.9975510002532796
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,-0.19899573961336248,0.3476944602459687,-0.9910230433299713,0.42600518568190054,-0.4677148791403131,-0.8180856154827036,0.053271099022528454,-0.13627828691326657,-0.7887418390643721,-0.1719738860270149,-0.7337316084754496,0.7012625396704327,-0.7953881715414242,0.9680081178413225,0.9031998091484483,0.3217820292497218,0.6202175538878211,-0.5829778403072591,0.8793167982904462,-0.917754505966276,-0.8262338476412724,0.40096742858904894,-0.4432344156657093,-0.8335894554104488,0.08070844845480062,-0.10898675223987112,-0.5119277164778855,0.9165582747536791,-0.8807423311097222,-0.7754499268387708,-0.9342029948839237,0.8577086813638242,0.7451744023448704,-0.6178601819419246,-0.7552387953835564,0.9820042351172703
1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,-0.8355315965373296,0.5288720802527089,-0.23659871583156036,-0.2838120999723787,0.021134753074426534,-0.4581513251924957,0.051114043441223465,0.051114043441223465,0.9461861507706223,-0.7973147490586083,0.3859173766700854,-0.6153524829547193,0.20655733257344944,-0.5914315800583396,-0.5914315800583396,-0.6228567477870415,0.931683532563884,-0.8030458656697309,0.9831874470475918,-0.8205593573395608,-0.8205593573395608,-0.9985762146465991,0.9492354180824409,-0.9909311911069861,0.9582438755126972,0.9582438755126972,-0.9787276577180605,0.7891275700546888,-0.972133273435337,-0.972133273435337,-0.9230819841240738,0.9995500337489875,0.9995500337489875,-0.9111302618846769,-0.9111302618846769,1.0
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,-0.1595087966040293,0.4122943793173338,-0.9446623114061066,0.4617194270834722,-0.5111855945859263,-0.7020088114320682,0.053410899712184934,0.053410899712184934,-0.7699479605420718,0.06711644974427175,-0.73373160847544,0.6940985645086974,-0.8721832238518907,0.9772678934981976,0.9772678934981976,0.19632740626677755,0.5303556439480283,-0.4815206960416738,0.969803962653111,-0.8877292517787501,-0.8877292517787501,0.2498958012588762,-0.3043001710598332,-0.8444696962887733,0.2771208750565576,0.2771208750565576,-0.43264757045245916,0.9817371595133212,-0.8610990519724927,-0.8610990519724927,-0.9909311911069861,0.8309406791001634,0.8309406791001634,-0.7486466455973987,-0.7486466455973987,1.0
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,-0.18919576909614869,0.36638513607805223,-0.9626738952489872,0.6518964403062986,-0.5368623779855085,-0.775851931763937,0.053261113218995945,0.053261113218995945,-0.7825552589379462,-0.022831074900527458,-0.5344002117592606,0.6496826741947139,-0.8303011087085252,0.9704688648082586,0.9704688648082586,0.20612281053395834,0.37001021213065544,-0.4989519209661411,0.9185614862588488,-0.9096285273579445,-0.9096285273579445,0.5163408640314968,-0.3886847533647522,-0.8701833387866973,0.2190066870930415,0.2190066870930415,-0.18633192878043048,0.9974514610801926,-0.7225109477983751,-0.7225109477983751,-0.977023741622146,0.8138784566625339,0.8138784566625339,-0.6713422630206088,-0.6713422630206088,1.0
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,-0.6889454069760953,0.30011291148402985,-0.8895703204536878,0.5139409702693777,-0.4317244262253331,-0.8666131722362007,0.053570670646913746,0.053570670646913746,-0.3882755541229325,-0.38280720767428855,-0.16306651182775694,0.25434168418624353,-0.9836374149625805,0.6868651800689234,0.6868651800689234,-0.06234851460699165,0.5802372913114293,-0.6536436208636119,0.8042579229121282,-0.9364566872907963,-0.9364566872907963,0.17171734183077755,-0.07912088880673387,-0.9879772279808662,0.4084874408841574,0.4084874408841574,-0.45949573073569183,0.9205113920620962,-0.8290616049180339,-0.8290616049180339,-0.8800741638058526,0.8775825618903728,0.8775825618903728,-0.5446891134684134,-0.5446891134684134,1.0
1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,-0.35271692811311056,0.33843289498837215,-0.9155380980323633,0.6367011660760039,-0.5620346362098759,-0.8122121801627473,0.053131297288758435,0.053131297288758435,-0.6880218249545579,-0.05280848317388083,-0.402089645505481,0.4857027545345312,-0.8864639497471927,0.915668078668492,0.915668078668492,0.03760215288797656,0.4159798277320972,-0.4989519209661404,0.8793167982904462,-0.9216800341052034,-0.9216800341052034,0.3733083596957192,-0.28518905924502064,-0.9507275640659084,0.35301940121933034,0.35301940121933034,-0.1764979074989752,0.9885595391883483,-0.7361927182273159,-0.7361927182273159,-0.9701911580773572,0.7960837985490559,0.7960837985490559,-0.6256920379942952,-0.6256920379942952,1.0
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,-0.5569949175138407,0.2816766059004099,-0.977260839880405,0.32451850676938904,-0.5116754096185778,-0.8662486855430405,0.052841704673468846,0.052841704673468846,-0.5553298919812697,-0.46429022782228535,-0.5173898307526011,0.33081487794904696,-0.9389782494188617,0.7999230273097051,0.7999230273097051,0.17667868149685725,0.7506332695522979,-0.599109926407685,0.7922122610537938,-0.9432845990484758,-0.9432845990484758,0.22073953157613604,-0.4161468365471424,-0.9150267739551639,0.16010431155483126,0.16010431155483126,-0.5625173152563635,0.8188400380716578,-0.9274097488183283,-0.9274097488183283,-0.9191898621309318,0.8309406791001634,0.8309406791001634,-0.5446891134684134,-0.5446891134684134,1.0
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,-0.24744567927584477,0.28098568618115044,-0.9569814471858117,0.6667076486205366,-0.48504416717844423,-0.8666081823871655,0.053560685003628906,0.053560685003628906,-0.8008777679717868,-0.06279172292408176,-0.46514462036151133,0.6496826741947139,-0.7705143956585665,0.9542576426362255,0.9542576426362255,0.09745608858848662,0.43408289888797685,-0.6228567477870415,0.7922122610537938,-0.9432845990484758,-0.9432845990484758,0.516340864031509,-0.31381055935888247,-0.9443372866993279,0.23847605343372313,0.23847605343372313,-0.22547187812891345,0.9777362253881627,-0.708540182623656,-0.708540182623656,-0.9069635895848724,0.8472551110134161,0.8472551110134161,-0.5446891134684134,-0.5446891134684134,1.0
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,0.05945186299274171,0.3195845572814415,-0.9812577808970993,0.7448117244401937,-0.4941733213363251,-0.8063143869784666,0.0530913537448604,0.0530913537448604,-0.9315888985992304,0.1466362898604449,-0.6317416826294965,0.8453216554840661,-0.628519086319688,0.9999797077049732,0.9999797077049732,0.23538144295445118,0.2945838475183514,-0.5829778403072591,0.8745105391649051,-0.9292542053441233,-0.9292542053441233,0.6835188747617746,-0.4161468365471424,-0.8550121605480272,0.1403316058467367,0.1403316058467367,-0.10722084852347653,0.9999630975292054,-0.6267905302225414,-0.6267905302225414,-0.950865146886587,0.8419009751622688,0.8419009751622688,-0.6334613253642747,-0.6334613253642747,1.0
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,-0.4445511024237977,0.29117135707221004,-0.941496568811551,0.5230389706853821,-0.5201646074069678,-0.8347806603746242,0.052931578720444836,0.052931578720444836,-0.6508925937483749,-0.22099351850480609,-0.4383822632207819,0.44140775929490567,-0.9126199946157589,0.8709669799644405,0.8709669799644405,0.05757915612384691,0.5802372913114293,-0.5829778403072591,0.8329544506226041,-0.9399176386599379,-0.9399176386599379,0.3075076362738114,-0.3043001710598332,-0.9410003364789378,0.28671520963195546,0.28671520963195546,-0.359215694720227,0.9455848301414105,-0.8234286726518811,-0.8234286726518811,-0.944483286005189,0.8253356149096783,0.8253356149096783,-0.5939970642948121,-0.5939970642948121,1.0
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,-0.03050832421891442,0.3572211276952513,-0.9479973653942498,0.6963165898201433,-0.5285432990865454,-0.7088696028174344,0.0530913537448604,-0.08677440360620546,-0.8766042809775726,0.18607606500180907,-0.6161127925152375,0.7689307015696053,-0.7953881715414242,0.9965051005484024,0.9750989841407335,0.1470755535718631,0.3231157636964542,-0.5161835717748248,0.9503708470676735,-0.9137372031415447,-0.848100031710408,0.524878736046769,-0.33273624568084537,-0.8444696962887723,0.26749882862458735,0.13042370873814554,-0.1369951857588135,0.9960783826333368,-0.679754133874986,-0.5707569068705842,-0.9922253254526032,0.8196480178454795,0.7316888688738209,-0.7419796317705514,-0.8282729333567239,0.9902159962126371
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,-0.21852536740946882,0.30037045453675015,-0.8850836348032487,0.8192160228154314,-0.48527151809156843,-0.8004851798472286,0.05330105640115978,0.05330105640115978,-0.8068259031699938,0.15652069800626667,-0.28000370992845647,0.6721930835534681,-0.8246865363492497,0.9627964796446757,0.9627964796446757,-0.07232577525325448,0.19770878299582717,-0.6070865055389545,0.8696168297142055,-0.9364566872907963,-0.9364566872907963,0.5501740386833355,-0.12884449429552464,-0.9650343229592003,0.4175945039583582,0.4175945039583582,0.002572637802029752,0.9904116285469697,-0.5290047595727219,-0.5290047595727219,-0.9508651468865875,0.8472551110134161,0.8472551110134161,-0.6411672671296018,-0.6411672671296018,1.0
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,-0.22854518955626787,0.2815038896460874,-0.9234413024854963,0.613371703656263,-0.5286027212356502,-0.7942816475489187,-0.036945263283679246,-0.1661791554121624,-0.8126933564502385,0.057135808750675095,-0.5428256668400303,0.6265875942814494,-0.835832651648847,0.931008766124771,0.875836765599233,-0.0023889781122815386,0.49602944782645964,-0.5829778403072591,0.8646361593052119,-0.9096285273579445,-0.848100031710408,0.36401277586657127,-0.26596387560898016,-0.9340444813917941,0.2481754516523729,0.1205027693673666,-0.24491047981296446,0.9885595391883483,-0.6942860108229739,-0.5951299632329006,-0.9677192802109889,0.7648421872844885,0.6748757600712672,-0.7145763808626919,-0.7992332368822163,0.9523335698857134
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,0.04961656086781132,0.2716826550867344,-0.9703642580494862,0.882006179683985,-0.5198998219484343,-0.8004492172534935,0.05324114159595314,-0.006733622318452212,-0.9453803929404633,0.18607606500181081,-0.4203200155641418,0.8232808782875726,-0.6439482328903756,0.9999934137871648,0.9979763335477044,0.13717711210090727,0.10880418417461242,-0.599109926407685,0.8544159365101243,-0.9465572317631765,-0.9255133950087844,0.809072738971454,-0.397878873789916,-0.8750670286215942,0.18964083129783446,0.13042370873814554,0.1618574576207696,0.966751243530143,-0.42361045720064006,-0.36853012420193454,-0.9624854679762374,0.8253356149096783,0.7899922314973651,-0.6411672671296018,-0.6860299601802835,0.9982005399352042
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,-0.07060426692896854,0.3386116770790848,-0.9600088070982493,0.5975183492943456,-0.49430372028700914,-0.6651870406678274,0.05294156469921198,0.05294156469921198,-0.8668053686983217,0.10696192793604421,-0.6844127722583864,0.7689307015696053,-0.8519236143046458,0.9923676161925834,0.9923676161925834,0.1668273258502217,0.46090971040232837,-0.5666125708436437,0.9620521076157734,-0.9216800341052034,-0.9216800341052034,0.4462518563632717,-0.33273624568084537,-0.786779754396419,0.22875280780845939,0.22875280780845939,-0.3026076175897515,0.9998271922129018,-0.769097169221327,-0.769097169221327,-0.9945158095364889,0.8419009751622688,0.8419009751622688,-0.7808456836057491,-0.7808456836057491,1.0
