RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,cos(RI+Na),cos(RI+Mg),cos(RI+Al),cos(RI+Si),cos(RI+K),cos(RI+Ca),cos(RI+Ba),cos(RI+Fe),cos(Na+Mg),cos(Na+Al),cos(Na+Si),cos(Na+K),cos(Na+Ca),cos(Na+Ba),cos(Na+Fe),cos(Mg+Al),cos(Mg+Si),cos(Mg+K),cos(Mg+Ca),cos(Mg+Ba),cos(Mg+Fe),cos(Al+Si),cos(Al+K),cos(Al+Ca),cos(Al+Ba),cos(Al+Fe),cos(Si+K),cos(Si+Ca),cos(Si+Ba),cos(Si+Fe),cos(K+Ca),cos(K+Ba),cos(K+Fe),cos(Ca+Ba),cos(Ca+Fe),cos(Ba+Fe),Type
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,-0.09838364868576970,0.2602885283746600,-0.9978305228706220,0.7759896755053630,-0.576888010701818,-0.9836764028953420,0.05505847108065580,-0.18386167910662800,-0.8906440315844860,-0.14234789107731400,-0.4562691638171400,0.6795631096835300,-0.3798625938681050,0.9882221982578050,0.9235231208640650,0.30278266187032400,0.3041252155417240,-0.5500206639064250,0.526455126081828,-0.9497352095434960,-0.848100031710408,0.8031552984346970,-0.6124875656583850,-0.9747445446749890,0.010796117058267400,-0.2272020946930870,0.04255978181860010,0.9243724589983970,-0.5870640462090190,-0.37780770097834300,-0.7870537770643240,0.7838216658808490,0.6137457494888120,-0.23383324016862400,-0.45824383537103800,0.9713379748520300,1
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,-0.1794851317404300,0.4486382169489060,-0.9380065558774590,0.6443726621200250,-0.5199852420726510,-0.7943545477965220,0.053141283161452700,0.053141283161452700,-0.7302990367002150,0.06711644974427180,-0.5511968398064570,0.6721930835534680,-0.8073502984599280,0.9728325656974350,0.9728325656974350,0.21589760269185400,0.2945838475183510,-0.43711544130702800,0.9406110315852100,-0.8686094366471650,-0.8686094366471650,0.4372806189609530,-0.294759352997261,-0.9190148868875640,0.2962808729253190,0.2962808729253190,-0.2157182702380310,0.9938004344821310,-0.7293883021240360,-0.7293883021240360,-0.9651506312230300,0.8253356149096780,0.8253356149096780,-0.6488090927025190,-0.6488090927025190,1.0,1
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,-0.2558463194985490,0.23138494454453900,-0.9746370999569150,0.8240156703575790,-0.5932529253993810,-0.9900602065608130,0.05487874322593040,-0.18403860750988000,-0.824183878421875,-0.14234789107731400,-0.231673829783726,0.5372447313175410,-0.48786979380449400,0.9512201246101120,0.8506218777929880,0.11734006757595500,0.25613337893304100,-0.5583445343691100,0.46570022477569700,-0.9586980828436690,-0.8636111153905660,0.7529758165643600,-0.49618891270599900,-0.9996819412301850,0.169967142900241,-0.06914844865406200,0.14209011996687600,0.9388886398316540,-0.5204922624215540,-0.3026076175897520,-0.7745595062295170,0.7712460149971070,0.5978339822872980,-0.19476549993116100,-0.42233370833177000,0.9713379748520300,1
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,-0.23800670071945900,0.3570343165836010,-0.9379545526979540,0.7833596304886270,-0.46769720145879300,-0.8903413184990960,0.053291070613611600,-0.11641907714452800,-0.7570326932278160,0.007166879799185060,-0.3181694543738890,0.6721930835534690,-0.7309054730885350,0.9571997356932870,0.8944353405857390,0.11734006757595500,0.19770878299582700,-0.5748239465332690,0.8101604153015610,-0.9137372031415450,-0.8318257152467460,0.6072324383038490,-0.23692904868467500,-0.9747445446749890,0.2962808729253190,0.13042370873814600,-0.07735001976165860,0.9958251061636470,-0.5789394232697470,-0.432647570452472,-0.8752818770834650,0.8577086813638240,0.7583618759905080,-0.5020939611283970,-0.6411672671296020,0.9855847669095610,1
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,0.009536796585433720,0.38503063790612600,-0.9511172542906250,0.8306102288450410,-0.5027988824817020,-0.8293505383010460,0.053141283161452700,0.053141283161452700,-0.8813724903622350,0.21546397609860900,-0.4739735628314790,0.811764300246999,-0.6362654726135510,0.9990483893197610,0.9990483893197610,0.18651236942257600,0.08890248541486120,-0.5161835717748250,0.8886650518714390,-0.9011387094668890,-0.9011387094668890,0.6979798590772270,-0.31381055935888200,-0.9267150209658550,0.2578500325326700,0.2578500325326700,0.04255978181860010,0.994109788168103,-0.5119277164778860,-0.5119277164778860,-0.9411505223377320,0.8364626499151870,0.8364626499151870,-0.6020119026848240,-0.6020119026848240,1.0,1
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,-0.18929396208876800,0.33840466512021300,-0.9233875698773070,0.8017291162941640,-0.5027815943126130,-0.8856835907412720,0.05316125489089790,0.05316125489089790,-0.8008777679717850,0.09701411442317170,-0.33706523576944700,0.6795631096835300,-0.7030289574653890,0.9704688648082590,0.9704688648082590,0.05757915612384600,0.18789645300937400,-0.5583445343691100,0.8042579229121280,-0.9216800341052030,-0.9216800341052030,0.5992569669680620,-0.23692904868467500,-0.9810046215940660,0.3342377271245030,0.3342377271245030,-0.00742729107113068,0.9986788487114800,-0.5542214723793920,-0.5542214723793920,-0.8983585839090320,0.8364626499151870,0.8364626499151870,-0.5107168432519060,-0.5107168432519060,1.0,1
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,-0.06063584055004130,0.4577394891109680,-0.8943802086969550,0.7176435193207740,-0.528679117335662,-0.701666889809615,0.052931578720444800,0.052931578720444800,-0.8008777679717850,0.29281249983584700,-0.5677729964669370,0.7494076215820770,-0.8189894960235740,0.9935511246362650,0.9935511246362650,0.11734006757595500,0.18789645300937400,-0.41904111212235600,0.9807811689476360,-0.8636111153905660,-0.8636111153905660,0.42826565386113800,-0.19788881460910900,-0.9067764503038210,0.3993395294062730,0.3993395294062730,-0.10722084852347700,0.9917435630422240,-0.6574483660720190,-0.6574483660720190,-0.9934202380925270,0.8196480178454800,0.8196480178454800,-0.7486466455973990,-0.7486466455973990,1.0,1
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,-0.9849007204032100,0.6127779043982990,-0.7454193242276780,-0.8107705976786910,-0.10099120847764100,-0.3179953083127940,0.04881691677709140,0.04881691677709140,0.8023608804193180,-0.8969548417022890,-0.6239584352341520,-0.36425531546343300,-0.051921544821895600,-0.22099351850480600,-0.22099351850480600,0.02760751145421150,0.9823381583566470,-0.6536436208636120,0.9074467814501960,-0.7593990591375080,-0.7593990591375080,-0.9999780147841180,0.5062202572327780,-0.8166453193414420,0.6294120265736970,0.6294120265736970,-0.7339811310055470,0.3888539660057960,-0.6242454385128060,-0.6242454385128060,-0.9922253254526030,0.9887710779360420,0.9887710779360420,-0.9624854679762370,-0.9624854679762370,1.0,1
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,-0.958571155979828,0.5113208228321710,-0.9036914159161200,-0.18720626816559400,-0.008313577435851180,-0.5534195841377670,0.051663316735140800,0.051663316735140800,0.34406274621499900,-0.8092257615331790,-0.36515377013192100,0.17624157161241200,-0.697530186973986,0.23494981853982300,0.23494981853982300,0.19632740626677800,0.8996730468727750,-0.7970466407920120,0.9985622891321230,-0.8318257152467460,-0.8318257152467460,-0.5033119781891740,0.32479628443877600,-0.7989662576069340,0.3809248243668820,0.3809248243668820,-0.9970652789796560,0.7829459230080880,-0.990680492090783,-0.990680492090783,-0.8893942467775820,0.9982005399352040,0.9982005399352040,-0.8603818127797270,-0.8603818127797270,1.0,1
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,-0.38958694414549300,0.3381599935076960,-0.9978387646352400,0.40768981586334800,-0.4675822919691800,-0.8615039664631570,0.05342088543570620,-0.01655291719790420,-0.6584516211663130,-0.5420150349464430,-0.6002374654987000,0.545651992772727,-0.8622258585018750,0.8988625176184500,0.866010098357455,0.494805518914805,0.64346784257364,-0.5910734367830320,0.8329544506226040,-0.9216800341052030,-0.8922884481070680,0.5584968911839860,-0.6124875656583850,-0.7614676440560530,-0.11892156929661200,-0.18807683889288000,-0.5290047595727100,0.8720558030731640,-0.8900374723152430,-0.8559717097603540,-0.9027062216819100,0.8577086813638240,0.8196480178454800,-0.5530481199123020,-0.6099665403862420,0.9975510002532800,1
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,-0.19899573961336200,0.3476944602459690,-0.9910230433299710,0.42600518568190100,-0.4677148791403130,-0.8180856154827040,0.053271099022528500,-0.13627828691326700,-0.7887418390643720,-0.1719738860270150,-0.7337316084754500,0.7012625396704330,-0.7953881715414240,0.9680081178413230,0.9031998091484480,0.3217820292497220,0.6202175538878210,-0.5829778403072590,0.8793167982904460,-0.917754505966276,-0.8262338476412720,0.40096742858904900,-0.4432344156657090,-0.8335894554104490,0.08070844845480060,-0.10898675223987100,-0.5119277164778860,0.9165582747536790,-0.8807423311097220,-0.7754499268387710,-0.9342029948839240,0.8577086813638240,0.7451744023448700,-0.6178601819419250,-0.7552387953835560,0.9820042351172700,1
1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,-0.8355315965373300,0.5288720802527090,-0.23659871583156000,-0.2838120999723790,0.021134753074426500,-0.4581513251924960,0.051114043441223500,0.051114043441223500,0.9461861507706220,-0.7973147490586080,0.3859173766700850,-0.6153524829547190,0.20655733257344900,-0.5914315800583400,-0.5914315800583400,-0.6228567477870420,0.931683532563884,-0.8030458656697310,0.9831874470475920,-0.8205593573395610,-0.8205593573395610,-0.9985762146465990,0.9492354180824410,-0.9909311911069860,0.9582438755126970,0.9582438755126970,-0.9787276577180610,0.7891275700546890,-0.972133273435337,-0.972133273435337,-0.9230819841240740,0.9995500337489880,0.9995500337489880,-0.9111302618846770,-0.9111302618846770,1.0,1
1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,-0.1595087966040290,0.4122943793173340,-0.9446623114061070,0.4617194270834720,-0.5111855945859260,-0.7020088114320680,0.053410899712184900,0.053410899712184900,-0.7699479605420720,0.06711644974427180,-0.73373160847544,0.6940985645086970,-0.8721832238518910,0.9772678934981980,0.9772678934981980,0.19632740626677800,0.5303556439480280,-0.4815206960416740,0.969803962653111,-0.8877292517787500,-0.8877292517787500,0.2498958012588760,-0.3043001710598330,-0.8444696962887730,0.2771208750565580,0.2771208750565580,-0.43264757045245900,0.9817371595133210,-0.8610990519724930,-0.8610990519724930,-0.9909311911069860,0.8309406791001630,0.8309406791001630,-0.7486466455973990,-0.7486466455973990,1.0,1
1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,-0.18919576909614900,0.36638513607805200,-0.9626738952489870,0.6518964403062990,-0.5368623779855090,-0.775851931763937,0.053261113218995900,0.053261113218995900,-0.7825552589379460,-0.022831074900527500,-0.5344002117592610,0.6496826741947140,-0.8303011087085250,0.9704688648082590,0.9704688648082590,0.20612281053395800,0.37001021213065500,-0.4989519209661410,0.9185614862588490,-0.9096285273579450,-0.9096285273579450,0.5163408640314970,-0.3886847533647520,-0.8701833387866970,0.2190066870930420,0.2190066870930420,-0.18633192878043000,0.9974514610801930,-0.7225109477983750,-0.7225109477983750,-0.977023741622146,0.8138784566625340,0.8138784566625340,-0.6713422630206090,-0.6713422630206090,1.0,1
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,-0.6889454069760950,0.30011291148403000,-0.8895703204536880,0.5139409702693780,-0.4317244262253330,-0.8666131722362010,0.053570670646913700,0.053570670646913700,-0.3882755541229330,-0.38280720767428900,-0.16306651182775700,0.25434168418624400,-0.9836374149625810,0.6868651800689230,0.6868651800689230,-0.06234851460699170,0.5802372913114290,-0.6536436208636120,0.8042579229121280,-0.9364566872907960,-0.9364566872907960,0.17171734183077800,-0.07912088880673390,-0.9879772279808660,0.4084874408841570,0.4084874408841570,-0.45949573073569200,0.9205113920620960,-0.8290616049180340,-0.8290616049180340,-0.8800741638058530,0.8775825618903730,0.8775825618903730,-0.5446891134684130,-0.5446891134684130,1.0,1
1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,-0.35271692811311100,0.33843289498837200,-0.9155380980323630,0.6367011660760040,-0.5620346362098760,-0.8122121801627470,0.053131297288758400,0.053131297288758400,-0.6880218249545580,-0.05280848317388080,-0.402089645505481,0.4857027545345310,-0.8864639497471930,0.915668078668492,0.915668078668492,0.03760215288797660,0.4159798277320970,-0.4989519209661400,0.8793167982904460,-0.9216800341052030,-0.9216800341052030,0.3733083596957190,-0.28518905924502100,-0.9507275640659080,0.35301940121933000,0.35301940121933000,-0.1764979074989750,0.9885595391883480,-0.7361927182273160,-0.7361927182273160,-0.9701911580773570,0.7960837985490560,0.7960837985490560,-0.6256920379942950,-0.6256920379942950,1.0,1
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,-0.5569949175138410,0.2816766059004100,-0.977260839880405,0.32451850676938900,-0.5116754096185780,-0.8662486855430410,0.052841704673468800,0.052841704673468800,-0.5553298919812700,-0.46429022782228500,-0.5173898307526010,0.33081487794904700,-0.9389782494188620,0.7999230273097050,0.7999230273097050,0.17667868149685700,0.7506332695522980,-0.599109926407685,0.7922122610537940,-0.9432845990484760,-0.9432845990484760,0.22073953157613600,-0.4161468365471420,-0.9150267739551640,0.16010431155483100,0.16010431155483100,-0.5625173152563640,0.8188400380716580,-0.9274097488183280,-0.9274097488183280,-0.9191898621309320,0.8309406791001630,0.8309406791001630,-0.5446891134684130,-0.5446891134684130,1.0,1
1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,-0.24744567927584500,0.28098568618115000,-0.9569814471858120,0.6667076486205370,-0.48504416717844400,-0.8666081823871660,0.053560685003628900,0.053560685003628900,-0.8008777679717870,-0.06279172292408180,-0.46514462036151100,0.6496826741947140,-0.7705143956585670,0.9542576426362260,0.9542576426362260,0.09745608858848660,0.43408289888797700,-0.6228567477870420,0.7922122610537940,-0.9432845990484760,-0.9432845990484760,0.516340864031509,-0.31381055935888200,-0.9443372866993280,0.23847605343372300,0.23847605343372300,-0.22547187812891300,0.9777362253881630,-0.708540182623656,-0.708540182623656,-0.9069635895848720,0.8472551110134160,0.8472551110134160,-0.5446891134684130,-0.5446891134684130,1.0,1
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,0.05945186299274170,0.3195845572814420,-0.9812577808970990,0.7448117244401940,-0.4941733213363250,-0.8063143869784670,0.0530913537448604,0.0530913537448604,-0.9315888985992300,0.1466362898604450,-0.6317416826294970,0.8453216554840660,-0.628519086319688,0.9999797077049730,0.9999797077049730,0.23538144295445100,0.2945838475183510,-0.5829778403072590,0.8745105391649050,-0.9292542053441230,-0.9292542053441230,0.6835188747617750,-0.4161468365471420,-0.8550121605480270,0.1403316058467370,0.1403316058467370,-0.10722084852347700,0.9999630975292050,-0.6267905302225410,-0.6267905302225410,-0.950865146886587,0.8419009751622690,0.8419009751622690,-0.6334613253642750,-0.6334613253642750,1.0,1
1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,-0.4445511024237980,0.29117135707221000,-0.941496568811551,0.5230389706853820,-0.5201646074069680,-0.8347806603746240,0.052931578720444800,0.052931578720444800,-0.6508925937483750,-0.22099351850480600,-0.4383822632207820,0.44140775929490600,-0.9126199946157590,0.8709669799644410,0.8709669799644410,0.05757915612384690,0.5802372913114290,-0.5829778403072590,0.8329544506226040,-0.9399176386599380,-0.9399176386599380,0.3075076362738110,-0.3043001710598330,-0.9410003364789380,0.28671520963195500,0.28671520963195500,-0.359215694720227,0.9455848301414110,-0.8234286726518810,-0.8234286726518810,-0.944483286005189,0.8253356149096780,0.8253356149096780,-0.5939970642948120,-0.5939970642948120,1.0,1
1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,-0.03050832421891440,0.3572211276952510,-0.9479973653942500,0.6963165898201430,-0.5285432990865450,-0.7088696028174340,0.0530913537448604,-0.08677440360620550,-0.8766042809775730,0.18607606500180900,-0.6161127925152380,0.7689307015696050,-0.7953881715414240,0.9965051005484020,0.9750989841407340,0.1470755535718630,0.3231157636964540,-0.5161835717748250,0.9503708470676740,-0.9137372031415450,-0.848100031710408,0.524878736046769,-0.33273624568084500,-0.8444696962887720,0.26749882862458700,0.13042370873814600,-0.1369951857588140,0.9960783826333370,-0.679754133874986,-0.5707569068705840,-0.9922253254526030,0.8196480178454800,0.7316888688738210,-0.7419796317705510,-0.8282729333567240,0.9902159962126370,1
1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,-0.21852536740946900,0.30037045453675000,-0.8850836348032490,0.8192160228154310,-0.48527151809156800,-0.8004851798472290,0.05330105640115980,0.05330105640115980,-0.8068259031699940,0.15652069800626700,-0.28000370992845600,0.6721930835534680,-0.8246865363492500,0.9627964796446760,0.9627964796446760,-0.07232577525325450,0.19770878299582700,-0.6070865055389550,0.8696168297142060,-0.9364566872907960,-0.9364566872907960,0.5501740386833360,-0.12884449429552500,-0.9650343229592000,0.4175945039583580,0.4175945039583580,0.002572637802029750,0.9904116285469700,-0.5290047595727220,-0.5290047595727220,-0.9508651468865880,0.8472551110134160,0.8472551110134160,-0.6411672671296020,-0.6411672671296020,1.0,1
1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,-0.22854518955626800,0.2815038896460870,-0.9234413024854960,0.613371703656263,-0.5286027212356500,-0.7942816475489190,-0.036945263283679200,-0.1661791554121620,-0.8126933564502390,0.057135808750675100,-0.5428256668400300,0.6265875942814490,-0.835832651648847,0.931008766124771,0.875836765599233,-0.0023889781122815400,0.49602944782646000,-0.5829778403072590,0.8646361593052120,-0.9096285273579450,-0.848100031710408,0.36401277586657100,-0.26596387560898000,-0.9340444813917940,0.2481754516523730,0.1205027693673670,-0.24491047981296400,0.9885595391883480,-0.6942860108229740,-0.5951299632329010,-0.9677192802109890,0.7648421872844890,0.6748757600712670,-0.7145763808626920,-0.7992332368822160,0.9523335698857130,1
1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,0.04961656086781130,0.2716826550867340,-0.9703642580494860,0.882006179683985,-0.5198998219484340,-0.8004492172534940,0.05324114159595310,-0.006733622318452210,-0.9453803929404630,0.18607606500181100,-0.4203200155641420,0.8232808782875730,-0.6439482328903760,0.9999934137871650,0.9979763335477040,0.13717711210090700,0.10880418417461200,-0.599109926407685,0.8544159365101240,-0.9465572317631770,-0.9255133950087840,0.809072738971454,-0.397878873789916,-0.8750670286215940,0.18964083129783400,0.13042370873814600,0.1618574576207700,0.966751243530143,-0.42361045720064000,-0.36853012420193500,-0.9624854679762370,0.8253356149096780,0.7899922314973650,-0.6411672671296020,-0.6860299601802840,0.9982005399352040,1
1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,-0.07060426692896850,0.3386116770790850,-0.9600088070982490,0.5975183492943460,-0.49430372028700900,-0.6651870406678270,0.05294156469921200,0.05294156469921200,-0.8668053686983220,0.10696192793604400,-0.6844127722583860,0.7689307015696050,-0.8519236143046460,0.9923676161925830,0.9923676161925830,0.1668273258502220,0.46090971040232800,-0.5666125708436440,0.9620521076157730,-0.9216800341052030,-0.9216800341052030,0.4462518563632720,-0.33273624568084500,-0.786779754396419,0.22875280780845900,0.22875280780845900,-0.3026076175897520,0.9998271922129020,-0.769097169221327,-0.769097169221327,-0.9945158095364890,0.8419009751622690,0.8419009751622690,-0.7808456836057490,-0.7808456836057490,1.0,1
