X1,X2,X3,X4,X5,X6,X1*X2,X1*X3,X1*X4,X1*X5,X1*X6,X2*X3,X2*X4,X2*X5,X2*X6,X3*X4,X3*X5,X3*X6,X4*X5,X4*X6,X5*X6
3,3,1,3,3,4,9.0,3.0,9.0,9.0,12.0,3.0,9.0,9.0,12.0,3.0,3.0,4.0,9.0,12.0,12.0
5,3,3,3,5,3,15.0,15.0,15.0,25.0,15.0,9.0,9.0,15.0,9.0,9.0,15.0,9.0,15.0,9.0,15.0
5,3,3,3,5,3,15.0,15.0,15.0,25.0,15.0,9.0,9.0,15.0,9.0,9.0,15.0,9.0,15.0,9.0,15.0
4,3,3,3,4,4,12.0,12.0,12.0,16.0,16.0,9.0,9.0,12.0,12.0,9.0,12.0,12.0,12.0,12.0,16.0
4,1,3,4,4,5,4.0,12.0,16.0,16.0,20.0,3.0,4.0,4.0,5.0,12.0,12.0,15.0,16.0,20.0,20.0
3,2,4,4,4,5,6.0,12.0,12.0,12.0,15.0,8.0,8.0,8.0,10.0,16.0,16.0,20.0,16.0,20.0,20.0
3,2,4,4,4,5,6.0,12.0,12.0,12.0,15.0,8.0,8.0,8.0,10.0,16.0,16.0,20.0,16.0,20.0,20.0
4,1,3,1,1,4,4.0,12.0,4.0,4.0,16.0,3.0,1.0,1.0,4.0,3.0,3.0,12.0,1.0,4.0,4.0
4,2,3,3,4,4,8.0,12.0,12.0,16.0,16.0,6.0,6.0,8.0,8.0,9.0,12.0,12.0,12.0,12.0,16.0
5,3,4,3,4,5,15.0,20.0,15.0,20.0,25.0,12.0,9.0,12.0,15.0,12.0,16.0,20.0,12.0,15.0,20.0
5,3,4,3,4,5,15.0,20.0,15.0,20.0,25.0,12.0,9.0,12.0,15.0,12.0,16.0,20.0,12.0,15.0,20.0
5,2,3,3,2,5,10.0,15.0,15.0,10.0,25.0,6.0,6.0,4.0,10.0,9.0,6.0,15.0,6.0,15.0,10.0
4,4,3,4,2,4,16.0,12.0,16.0,8.0,16.0,12.0,16.0,8.0,16.0,12.0,6.0,12.0,8.0,16.0,8.0
4,1,3,4,4,3,4.0,12.0,16.0,16.0,12.0,3.0,4.0,4.0,3.0,12.0,12.0,9.0,16.0,12.0,12.0
5,2,3,3,3,3,10.0,15.0,15.0,15.0,15.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0,9.0,9.0,9.0
4,2,4,3,2,4,8.0,16.0,12.0,8.0,16.0,8.0,6.0,4.0,8.0,12.0,8.0,16.0,6.0,12.0,8.0
5,2,3,3,4,5,10.0,15.0,15.0,20.0,25.0,6.0,6.0,8.0,10.0,9.0,12.0,15.0,12.0,15.0,20.0
4,3,3,4,2,4,12.0,12.0,16.0,8.0,16.0,9.0,12.0,6.0,12.0,12.0,6.0,12.0,8.0,16.0,8.0
3,1,2,4,3,5,3.0,6.0,12.0,9.0,15.0,2.0,4.0,3.0,5.0,8.0,6.0,10.0,12.0,20.0,15.0
5,3,4,4,4,5,15.0,20.0,20.0,20.0,25.0,12.0,12.0,12.0,15.0,16.0,16.0,20.0,16.0,20.0,20.0
5,3,3,4,4,5,15.0,15.0,20.0,20.0,25.0,9.0,12.0,12.0,15.0,12.0,12.0,15.0,16.0,20.0,20.0
1,1,1,3,1,4,1.0,1.0,3.0,1.0,4.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,3.0,12.0,4.0
5,2,5,5,5,3,10.0,25.0,25.0,25.0,15.0,10.0,10.0,10.0,6.0,25.0,25.0,15.0,25.0,15.0,15.0
5,1,3,3,4,4,5.0,15.0,15.0,20.0,20.0,3.0,3.0,4.0,4.0,9.0,12.0,12.0,12.0,12.0,16.0
5,1,3,3,4,4,5.0,15.0,15.0,20.0,20.0,3.0,3.0,4.0,4.0,9.0,12.0,12.0,12.0,12.0,16.0
5,1,3,3,4,4,5.0,15.0,15.0,20.0,20.0,3.0,3.0,4.0,4.0,9.0,12.0,12.0,12.0,12.0,16.0
5,2,4,3,4,5,10.0,20.0,15.0,20.0,25.0,8.0,6.0,8.0,10.0,12.0,16.0,20.0,12.0,15.0,20.0
5,2,4,3,4,5,10.0,20.0,15.0,20.0,25.0,8.0,6.0,8.0,10.0,12.0,16.0,20.0,12.0,15.0,20.0
4,3,2,4,3,4,12.0,8.0,16.0,12.0,16.0,6.0,12.0,9.0,12.0,8.0,6.0,8.0,12.0,16.0,12.0
4,3,2,4,3,4,12.0,8.0,16.0,12.0,16.0,6.0,12.0,9.0,12.0,8.0,6.0,8.0,12.0,16.0,12.0
5,1,1,5,3,5,5.0,5.0,25.0,15.0,25.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,15.0,25.0,15.0
4,4,4,4,3,4,16.0,16.0,16.0,12.0,16.0,16.0,16.0,12.0,16.0,16.0,12.0,16.0,12.0,16.0,12.0
5,3,5,5,4,5,15.0,25.0,25.0,20.0,25.0,15.0,15.0,12.0,15.0,25.0,20.0,25.0,20.0,25.0,20.0
5,2,4,2,2,4,10.0,20.0,10.0,10.0,20.0,8.0,4.0,4.0,8.0,8.0,8.0,16.0,4.0,8.0,8.0
4,4,3,3,2,5,16.0,12.0,12.0,8.0,20.0,12.0,12.0,8.0,20.0,9.0,6.0,15.0,6.0,15.0,10.0
4,3,3,3,3,5,12.0,12.0,12.0,12.0,20.0,9.0,9.0,9.0,15.0,9.0,9.0,15.0,9.0,15.0,15.0
5,2,4,4,5,5,10.0,20.0,20.0,25.0,25.0,8.0,8.0,10.0,10.0,16.0,20.0,20.0,20.0,20.0,25.0
5,2,4,4,5,5,10.0,20.0,20.0,25.0,25.0,8.0,8.0,10.0,10.0,16.0,20.0,20.0,20.0,20.0,25.0
5,5,5,2,5,5,25.0,25.0,10.0,25.0,25.0,25.0,10.0,25.0,25.0,10.0,25.0,25.0,10.0,10.0,25.0
4,1,3,4,4,4,4.0,12.0,16.0,16.0,16.0,3.0,4.0,4.0,4.0,12.0,12.0,12.0,16.0,16.0,16.0
4,1,3,4,4,4,4.0,12.0,16.0,16.0,16.0,3.0,4.0,4.0,4.0,12.0,12.0,12.0,16.0,16.0,16.0
3,3,3,5,4,3,9.0,9.0,15.0,12.0,9.0,9.0,15.0,12.0,9.0,15.0,12.0,9.0,20.0,15.0,12.0
4,1,1,3,4,4,4.0,4.0,12.0,16.0,16.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,12.0,12.0,16.0
5,1,5,5,5,5,5.0,25.0,25.0,25.0,25.0,5.0,5.0,5.0,5.0,25.0,25.0,25.0,25.0,25.0,25.0
5,4,5,5,5,5,20.0,25.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,25.0,25.0,25.0,25.0,25.0,25.0
4,2,2,4,4,5,8.0,8.0,16.0,16.0,20.0,4.0,8.0,8.0,10.0,8.0,8.0,10.0,16.0,20.0,20.0
4,3,3,4,3,4,12.0,12.0,16.0,12.0,16.0,9.0,12.0,9.0,12.0,12.0,9.0,12.0,12.0,16.0,12.0
3,4,3,4,1,4,12.0,9.0,12.0,3.0,12.0,12.0,16.0,4.0,16.0,12.0,3.0,12.0,4.0,16.0,4.0
4,5,5,5,1,3,20.0,20.0,20.0,4.0,12.0,25.0,25.0,5.0,15.0,25.0,5.0,15.0,5.0,15.0,3.0
4,3,3,4,2,4,12.0,12.0,16.0,8.0,16.0,9.0,12.0,6.0,12.0,12.0,6.0,12.0,8.0,16.0,8.0
5,2,3,3,2,5,10.0,15.0,15.0,10.0,25.0,6.0,6.0,4.0,10.0,9.0,6.0,15.0,6.0,15.0,10.0
5,3,3,4,3,3,15.0,15.0,20.0,15.0,15.0,9.0,12.0,9.0,9.0,12.0,9.0,9.0,12.0,12.0,9.0
5,2,5,5,5,5,10.0,25.0,25.0,25.0,25.0,10.0,10.0,10.0,10.0,25.0,25.0,25.0,25.0,25.0,25.0
3,2,3,3,4,4,6.0,9.0,9.0,12.0,12.0,6.0,6.0,8.0,8.0,9.0,12.0,12.0,12.0,12.0,16.0
4,3,2,3,2,4,12.0,8.0,12.0,8.0,16.0,6.0,9.0,6.0,12.0,6.0,4.0,8.0,6.0,12.0,8.0
5,2,3,5,5,5,10.0,15.0,25.0,25.0,25.0,6.0,10.0,10.0,10.0,15.0,15.0,15.0,25.0,25.0,25.0
5,3,3,3,2,5,15.0,15.0,15.0,10.0,25.0,9.0,9.0,6.0,15.0,9.0,6.0,15.0,6.0,15.0,10.0
5,5,5,5,5,5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
4,3,2,4,4,4,12.0,8.0,16.0,16.0,16.0,6.0,12.0,12.0,12.0,8.0,8.0,8.0,16.0,16.0,16.0
3,3,3,3,3,4,9.0,9.0,9.0,9.0,12.0,9.0,9.0,9.0,12.0,9.0,9.0,12.0,9.0,12.0,12.0
4,2,4,4,4,4,8.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0
5,3,2,4,4,4,15.0,10.0,20.0,20.0,20.0,6.0,12.0,12.0,12.0,8.0,8.0,8.0,16.0,16.0,16.0
4,3,4,4,2,4,12.0,16.0,16.0,8.0,16.0,12.0,12.0,6.0,12.0,16.0,8.0,16.0,8.0,16.0,8.0
5,2,3,4,4,5,10.0,15.0,20.0,20.0,25.0,6.0,8.0,8.0,10.0,12.0,12.0,15.0,16.0,20.0,20.0
5,3,3,3,5,5,15.0,15.0,15.0,25.0,25.0,9.0,9.0,15.0,15.0,9.0,15.0,15.0,15.0,15.0,25.0
4,1,3,4,4,3,4.0,12.0,16.0,16.0,12.0,3.0,4.0,4.0,3.0,12.0,12.0,9.0,16.0,12.0,12.0
5,2,4,5,4,5,10.0,20.0,25.0,20.0,25.0,8.0,10.0,8.0,10.0,20.0,16.0,20.0,20.0,25.0,20.0
5,4,2,4,3,5,20.0,10.0,20.0,15.0,25.0,8.0,16.0,12.0,20.0,8.0,6.0,10.0,12.0,20.0,15.0
3,3,1,3,2,3,9.0,3.0,9.0,6.0,9.0,3.0,9.0,6.0,9.0,3.0,2.0,3.0,6.0,9.0,6.0
3,4,5,4,5,4,12.0,15.0,12.0,15.0,12.0,20.0,16.0,20.0,16.0,20.0,25.0,20.0,20.0,16.0,20.0
5,1,3,4,5,5,5.0,15.0,20.0,25.0,25.0,3.0,4.0,5.0,5.0,12.0,15.0,15.0,20.0,20.0,25.0
5,4,5,5,5,4,20.0,25.0,25.0,25.0,20.0,20.0,20.0,20.0,16.0,25.0,25.0,20.0,25.0,20.0,20.0
5,5,3,4,4,5,25.0,15.0,20.0,20.0,25.0,15.0,20.0,20.0,25.0,12.0,12.0,15.0,16.0,20.0,20.0
5,4,4,3,3,4,20.0,20.0,15.0,15.0,20.0,16.0,12.0,12.0,16.0,12.0,12.0,16.0,9.0,12.0,12.0
5,4,4,4,4,5,20.0,20.0,20.0,20.0,25.0,16.0,16.0,16.0,20.0,16.0,16.0,20.0,16.0,20.0,20.0
3,1,3,2,1,2,3.0,9.0,6.0,3.0,6.0,3.0,2.0,1.0,2.0,6.0,3.0,6.0,2.0,4.0,2.0
5,5,5,5,5,5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
4,4,3,4,3,3,16.0,12.0,16.0,12.0,12.0,12.0,16.0,12.0,12.0,12.0,9.0,9.0,12.0,12.0,9.0
5,4,5,4,5,4,20.0,25.0,20.0,25.0,20.0,20.0,16.0,20.0,16.0,20.0,25.0,20.0,20.0,16.0,20.0
4,2,3,4,3,3,8.0,12.0,16.0,12.0,12.0,6.0,8.0,6.0,6.0,12.0,9.0,9.0,12.0,12.0,9.0
3,3,2,4,4,4,9.0,6.0,12.0,12.0,12.0,6.0,12.0,12.0,12.0,8.0,8.0,8.0,16.0,16.0,16.0
5,2,2,4,5,5,10.0,10.0,20.0,25.0,25.0,4.0,8.0,10.0,10.0,8.0,10.0,10.0,20.0,20.0,25.0
5,3,2,4,4,5,15.0,10.0,20.0,20.0,25.0,6.0,12.0,12.0,15.0,8.0,8.0,10.0,16.0,20.0,20.0
3,1,2,3,3,1,3.0,6.0,9.0,9.0,3.0,2.0,3.0,3.0,1.0,6.0,6.0,2.0,9.0,3.0,3.0
5,3,4,3,4,3,15.0,20.0,15.0,20.0,15.0,12.0,9.0,12.0,9.0,12.0,16.0,12.0,12.0,9.0,12.0
5,2,3,3,3,5,10.0,15.0,15.0,15.0,25.0,6.0,6.0,6.0,10.0,9.0,9.0,15.0,9.0,15.0,15.0
4,3,4,4,3,4,12.0,16.0,16.0,12.0,16.0,12.0,12.0,9.0,12.0,16.0,12.0,16.0,12.0,16.0,12.0
3,2,2,3,3,3,6.0,6.0,9.0,9.0,9.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0,9.0
4,1,3,5,3,5,4.0,12.0,20.0,12.0,20.0,3.0,5.0,3.0,5.0,15.0,9.0,15.0,15.0,25.0,15.0
5,1,4,3,5,5,5.0,20.0,15.0,25.0,25.0,4.0,3.0,5.0,5.0,12.0,20.0,20.0,15.0,15.0,25.0
4,1,3,2,4,4,4.0,12.0,8.0,16.0,16.0,3.0,2.0,4.0,4.0,6.0,12.0,12.0,8.0,8.0,16.0
5,1,5,3,5,5,5.0,25.0,15.0,25.0,25.0,5.0,3.0,5.0,5.0,15.0,25.0,25.0,15.0,15.0,25.0
4,2,4,4,4,4,8.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,16.0
5,2,4,4,5,5,10.0,20.0,20.0,25.0,25.0,8.0,8.0,10.0,10.0,16.0,20.0,20.0,20.0,20.0,25.0
5,3,4,4,4,4,15.0,20.0,20.0,20.0,20.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0
5,2,4,4,2,3,10.0,20.0,20.0,10.0,15.0,8.0,8.0,4.0,6.0,16.0,8.0,12.0,8.0,12.0,6.0
5,3,3,4,4,5,15.0,15.0,20.0,20.0,25.0,9.0,12.0,12.0,15.0,12.0,12.0,15.0,16.0,20.0,20.0
5,3,3,4,4,4,15.0,15.0,20.0,20.0,20.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0
3,2,3,3,5,4,6.0,9.0,9.0,15.0,12.0,6.0,6.0,10.0,8.0,9.0,15.0,12.0,15.0,12.0,20.0
4,1,3,3,3,4,4.0,12.0,12.0,12.0,16.0,3.0,3.0,3.0,4.0,9.0,9.0,12.0,9.0,12.0,12.0
5,1,4,4,4,5,5.0,20.0,20.0,20.0,25.0,4.0,4.0,4.0,5.0,16.0,16.0,20.0,16.0,20.0,20.0
5,2,2,4,4,5,10.0,10.0,20.0,20.0,25.0,4.0,8.0,8.0,10.0,8.0,8.0,10.0,16.0,20.0,20.0
5,3,5,4,5,5,15.0,25.0,20.0,25.0,25.0,15.0,12.0,15.0,15.0,20.0,25.0,25.0,20.0,20.0,25.0
3,4,4,5,1,3,12.0,12.0,15.0,3.0,9.0,16.0,20.0,4.0,12.0,20.0,4.0,12.0,5.0,15.0,3.0
5,1,5,5,5,5,5.0,25.0,25.0,25.0,25.0,5.0,5.0,5.0,5.0,25.0,25.0,25.0,25.0,25.0,25.0
4,3,3,4,4,4,12.0,12.0,16.0,16.0,16.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,16.0,16.0,16.0
5,5,1,1,5,1,25.0,5.0,5.0,25.0,5.0,5.0,5.0,25.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0
4,4,4,4,1,3,16.0,16.0,16.0,4.0,12.0,16.0,16.0,4.0,12.0,16.0,4.0,12.0,4.0,12.0,3.0
5,2,3,4,4,3,10.0,15.0,20.0,20.0,15.0,6.0,8.0,8.0,6.0,12.0,12.0,9.0,16.0,12.0,12.0
5,3,3,1,3,5,15.0,15.0,5.0,15.0,25.0,9.0,3.0,9.0,15.0,3.0,9.0,15.0,3.0,5.0,15.0
5,2,3,4,2,5,10.0,15.0,20.0,10.0,25.0,6.0,8.0,4.0,10.0,12.0,6.0,15.0,8.0,20.0,10.0
5,3,3,4,4,5,15.0,15.0,20.0,20.0,25.0,9.0,12.0,12.0,15.0,12.0,12.0,15.0,16.0,20.0,20.0
4,3,3,4,4,5,12.0,12.0,16.0,16.0,20.0,9.0,12.0,12.0,15.0,12.0,12.0,15.0,16.0,20.0,20.0
5,3,2,5,5,5,15.0,10.0,25.0,25.0,25.0,6.0,15.0,15.0,15.0,10.0,10.0,10.0,25.0,25.0,25.0
