day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,day*month,day*year,day*Temperature,day*RH,day*Ws,day*Rain,day*FFMC,day*DMC,day*DC,day*ISI,day*BUI,day*FWI,month*year,month*Temperature,month*RH,month*Ws,month*Rain,month*FFMC,month*DMC,month*DC,month*ISI,month*BUI,month*FWI,year*Temperature,year*RH,year*Ws,year*Rain,year*FFMC,year*DMC,year*DC,year*ISI,year*BUI,year*FWI,Temperature*RH,Temperature*Ws,Temperature*Rain,Temperature*FFMC,Temperature*DMC,Temperature*DC,Temperature*ISI,Temperature*BUI,Temperature*FWI,RH*Ws,RH*Rain,RH*FFMC,RH*DMC,RH*DC,RH*ISI,RH*BUI,RH*FWI,Ws*Rain,Ws*FFMC,Ws*DMC,Ws*DC,Ws*ISI,Ws*BUI,Ws*FWI,Rain*FFMC,Rain*DMC,Rain*DC,Rain*ISI,Rain*BUI,Rain*FWI,FFMC*DMC,FFMC*DC,FFMC*ISI,FFMC*BUI,FFMC*FWI,DMC*DC,DMC*ISI,DMC*BUI,DMC*FWI,DC*ISI,DC*BUI,DC*FWI,ISI*BUI,ISI*FWI,BUI*FWI,Classes
11,6,2012,31,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6,66.0,22132.0,341.0,715.0,154.0,0.0,929.5,137.5,597.3,44.0,173.8,61.600000000000000,12072.0,186.0,390.0,84.0,0.0,507.0,75.0,325.80000000000000,24.0,94.80000000000000,33.600000000000000,62372.0,130780.0,28168.0,0.0,170014.0,25150.0,109251.60000000000,8048.0,31789.600000000000,11267.200000000000,2015.0,434.0,0.0,2619.5,387.5,1683.3,124.0,489.8,173.6,910.0,0.0,5492.5,812.5,3529.5,260.0,1027.0,364.0,0.0,1183.0,175.0,760.2000000000000,56.0,221.20000000000000,78.40000000000000,0.0,0.0,0.0,0.0,0.0,0.0,1056.25,4588.350000000000,338.0,1335.1000000000000,473.2,678.75,50.0,197.5,70.0,217.2,857.9400000000000,304.08,63.2,22.4,88.48,fire
12,6,2012,26,81,19,0.0,84.0,13.8,61.4,4.8,17.7,7.1,72.0,24144.0,312.0,972.0,228.0,0.0,1008.0,165.60000000000000,736.8,57.600000000000000,212.40000000000000,85.20000000000000,12072.0,156.0,486.0,114.0,0.0,504.0,82.80000000000000,368.4,28.800000000000000,106.20000000000000,42.600000000000000,52312.0,162972.0,38228.0,0.0,169008.0,27765.600000000000,123536.8,9657.6,35612.4,14285.200000000000,2106.0,494.0,0.0,2184.0,358.8,1596.4000000000000,124.8,460.2,184.6,1539.0,0.0,6804.0,1117.8,4973.4,388.8,1433.7,575.1,0.0,1596.0,262.2,1166.6,91.2,336.3,134.9,0.0,0.0,0.0,0.0,0.0,0.0,1159.2,5157.600000000000,403.2,1486.8,596.4,847.32,66.24,244.26,97.98,294.72000000000000,1086.78,435.94000000000000,84.96,34.08,125.67000000000000,fire
13,6,2012,27,84,21,1.2,50.0,6.7,17.0,0.5,6.7,0.2,78.0,26156.0,351.0,1092.0,273.0,15.6,650.0,87.10000000000000,221.0,6.5,87.10000000000000,2.6,12072.0,162.0,504.0,126.0,7.200000000000000,300.0,40.2,102.0,3.0,40.2,1.2000000000000000,54324.0,169008.0,42252.0,2414.4,100600.0,13480.4,34204.0,1006.0,13480.4,402.40000000000000,2268.0,567.0,32.4,1350.0,180.9,459.0,13.5,180.9,5.4,1764.0,100.8,4200.0,562.8000000000000,1428.0,42.0,562.8000000000000,16.8,25.2,1050.0,140.70000000000000,357.0,10.5,140.70000000000000,4.2,60.0,8.04,20.4,0.6,8.04,0.24,335.0,850.0,25.0,335.0,10.0,113.9,3.35,44.89,1.34,8.5,113.9,3.4000000000000000,3.35,0.1,1.34,not fire
14,6,2012,30,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,84.0,28168.0,420.0,1092.0,280.0,7.0,826.0,64.40000000000000,109.2,14.0,61.60000000000000,5.6000000000000000,12072.0,180.0,468.0,120.0,3.0,354.0,27.600000000000000,46.8,6.0,26.400000000000000,2.4000000000000000,60360.0,156936.0,40240.0,1006.0,118708.0,9255.200000000000,15693.6,2012.0,8852.800000000000,804.8000000000000,2340.0,600.0,15.0,1770.0,138.0,234.0,30.0,132.0,12.0,1560.0,39.0,4602.0,358.80000000000000,608.4,78.0,343.20000000000000,31.200000000000000,10.0,1180.0,92.0,156.0,20.0,88.0,8.0,29.5,2.3,3.9,0.5,2.2,0.2,271.4,460.2,59.0,259.6,23.6,35.880000000000000,4.6,20.24,1.8400000000000000,7.8,34.32,3.12,4.4,0.4,1.7600000000000000,not fire
15,6,2012,28,80,17,3.1,49.4,3.0,7.4,0.4,3.0,0.1,90.0,30180.0,420.0,1200.0,255.0,46.5,741.0,45.0,111.0,6.0,45.0,1.5,12072.0,168.0,480.0,102.0,18.6,296.4,18.0,44.400000000000000,2.4000000000000000,18.0,0.6000000000000000,56336.0,160960.0,34204.0,6237.2,99392.8,6036.0,14888.800000000000,804.8000000000000,6036.0,201.20000000000000,2240.0,476.0,86.8,1383.2,84.0,207.20000000000000,11.200000000000000,84.0,2.8000000000000000,1360.0,248.0,3952.0,240.0,592.0,32.0,240.0,8.0,52.7,839.8,51.0,125.80000000000000,6.800000000000000,51.0,1.7000000000000000,153.14,9.3,22.94,1.2400000000000000,9.3,0.31000000000000000,148.2,365.56,19.76,148.2,4.94,22.200000000000000,1.2000000000000000,9.0,0.30000000000000000,2.9600000000000000,22.200000000000000,0.7400000000000000,1.2000000000000000,0.04000000000000000,0.30000000000000000,not fire
16,6,2012,29,89,13,0.7,36.1,1.7,7.6,0.0,2.2,0.0,96.0,32192.0,464.0,1424.0,208.0,11.2,577.6,27.2,121.6,0.0,35.2,0.0,12072.0,174.0,534.0,78.0,4.200000000000000,216.60000000000000,10.2,45.600000000000000,0.0,13.200000000000000,0.0,58348.0,179068.0,26156.0,1408.4000000000000,72633.2,3420.4,15291.200000000000,0.0,4426.400000000000,0.0,2581.0,377.0,20.300000000000000,1046.9,49.3,220.40000000000000,0.0,63.800000000000000,0.0,1157.0,62.3,3212.9,151.30000000000000,676.4,0.0,195.8,0.0,9.1,469.3,22.100000000000000,98.8,0.0,28.6,0.0,25.27,1.19,5.320000000000000,0.0,1.54,0.0,61.37,274.36,0.0,79.42000000000000,0.0,12.92,0.0,3.74,0.0,0.0,16.72,0.0,0.0,0.0,0.0,not fire
17,6,2012,30,89,16,0.6,37.3,1.1,7.8,0.0,1.6,0.0,102.0,34204.0,510.0,1513.0,272.0,10.2,634.1000000000000,18.700000000000000,132.6,0.0,27.200000000000000,0.0,12072.0,180.0,534.0,96.0,3.6000000000000000,223.80000000000000,6.6000000000000000,46.8,0.0,9.600000000000000,0.0,60360.0,179068.0,32192.0,1207.2,75047.60000000000,2213.2000000000000,15693.6,0.0,3219.2000000000000,0.0,2670.0,480.0,18.0,1119.0,33.0,234.0,0.0,48.0,0.0,1424.0,53.4,3319.7,97.9,694.2000000000000,0.0,142.4,0.0,9.6,596.8,17.6,124.8,0.0,25.6,0.0,22.38,0.66,4.68,0.0,0.96,0.0,41.03,290.94,0.0,59.68,0.0,8.58,0.0,1.7600000000000000,0.0,0.0,12.48,0.0,0.0,0.0,0.0,not fire
18,6,2012,31,78,14,0.3,56.9,1.9,8.0,0.7,2.4,0.2,108.0,36216.0,558.0,1404.0,252.0,5.4000000000000000,1024.2,34.200000000000000,144.0,12.6,43.200000000000000,3.6,12072.0,186.0,468.0,84.0,1.8000000000000000,341.4,11.400000000000000,48.0,4.200000000000000,14.400000000000000,1.2000000000000000,62372.0,156936.0,28168.0,603.6,114482.8,3822.8000000000000,16096.0,1408.4000000000000,4828.8,402.40000000000000,2418.0,434.0,9.300000000000000,1763.9000000000000,58.9,248.0,21.7,74.40000000000000,6.2,1092.0,23.4,4438.2,148.2,624.0,54.600000000000000,187.2,15.600000000000000,4.2,796.6,26.600000000000000,112.0,9.800000000000000,33.6,2.8000000000000000,17.07,0.57,2.4,0.21,0.72,0.06,108.11000000000000,455.2,39.83,136.56,11.38,15.2,1.3300000000000000,4.56,0.38,5.6,19.2,1.6,1.68,0.14000000000000000,0.48,not fire
19,6,2012,31,55,16,0.1,79.9,4.5,16.0,2.5,5.3,1.4,114.0,38228.0,589.0,1045.0,304.0,1.9000000000000000,1518.1000000000000,85.5,304.0,47.5,100.7,26.600000000000000,12072.0,186.0,330.0,96.0,0.6000000000000000,479.40000000000000,27.0,96.0,15.0,31.800000000000000,8.400000000000000,62372.0,110660.0,32192.0,201.20000000000000,160758.80000000000,9054.0,32192.0,5030.0,10663.6,2816.8000000000000,1705.0,496.0,3.1,2476.9,139.5,496.0,77.5,164.30000000000000,43.4,880.0,5.5,4394.5,247.5,880.0,137.5,291.5,77.0,1.6,1278.4,72.0,256.0,40.0,84.8,22.4,7.990000000000000,0.45,1.6,0.25,0.53,0.14000000000000000,359.55,1278.4,199.75,423.47,111.86,72.0,11.25,23.850000000000000,6.3,40.0,84.8,22.4,13.25,3.5,7.420000000000000,not fire
20,6,2012,30,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,120.0,40240.0,600.0,1600.0,320.0,8.0,1196.0,68.0,542.0,18.0,102.0,8.0,12072.0,180.0,480.0,96.0,2.4000000000000000,358.80000000000000,20.4,162.60000000000000,5.4,30.600000000000000,2.4000000000000000,60360.0,160960.0,32192.0,804.8000000000000,120317.60000000000,6840.8,54525.200000000000,1810.8,10261.200000000000,804.8000000000000,2400.0,480.0,12.0,1794.0,102.0,813.0,27.0,153.0,12.0,1280.0,32.0,4784.0,272.0,2168.0,72.0,408.0,32.0,6.4,956.8,54.4,433.6,14.4,81.6,6.4,23.92,1.36,10.840000000000000,0.36000000000000000,2.04,0.16000000000000000,203.32,1620.58,53.82,304.98000000000000,23.92,92.14,3.06,17.34,1.36,24.39,138.21,10.840000000000000,4.59,0.36000000000000000,2.04,not fire
21,6,2012,30,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,126.0,42252.0,630.0,1638.0,294.0,0.0,1701.0,132.30000000000000,663.6,54.6,176.4,46.2,12072.0,180.0,468.0,84.0,0.0,486.0,37.8,189.60000000000000,15.600000000000000,50.400000000000000,13.200000000000000,60360.0,156936.0,28168.0,0.0,162972.0,12675.6,63579.200000000000,5231.2,16900.8,4426.400000000000,2340.0,420.0,0.0,2430.0,189.0,948.0,78.0,252.0,66.0,1092.0,0.0,6318.0,491.4,2464.8,202.8,655.2,171.60000000000000,0.0,1134.0,88.2,442.40000000000000,36.4,117.60000000000000,30.800000000000000,0.0,0.0,0.0,0.0,0.0,0.0,510.3,2559.6,210.6,680.4,178.20000000000000,199.08,16.38,52.92,13.860000000000000,82.16000000000000,265.44,69.52000000000000,21.840000000000000,5.720000000000000,18.480000000000000,fire
22,6,2012,31,67,17,0.1,79.1,7.0,39.5,2.4,9.7,2.3,132.0,44264.0,682.0,1474.0,374.0,2.2,1740.2000000000000,154.0,869.0,52.8,213.40000000000000,50.600000000000000,12072.0,186.0,402.0,102.0,0.6000000000000000,474.60000000000000,42.0,237.0,14.400000000000000,58.200000000000000,13.800000000000000,62372.0,134804.0,34204.0,201.20000000000000,159149.20000000000,14084.0,79474.0,4828.8,19516.400000000000,4627.600000000000,2077.0,527.0,3.1,2452.1,217.0,1224.5,74.40000000000000,300.7,71.3,1139.0,6.7,5299.7,469.0,2646.5,160.80000000000000,649.9,154.1,1.7000000000000000,1344.7000000000000,119.0,671.5,40.8,164.90000000000000,39.100000000000000,7.91,0.7000000000000000,3.95,0.24,0.97,0.23000000000000000,553.7000000000000,3124.45,189.84000000000000,767.2700000000000,181.93000000000000,276.5,16.8,67.90000000000000,16.100000000000000,94.8,383.15,90.85,23.280000000000000,5.52,22.310000000000000,not fire
23,6,2012,32,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,138.0,46276.0,736.0,1426.0,414.0,2.3000000000000000,1872.2,188.6,1097.1000000000000,75.90000000000000,264.5,87.40000000000000,12072.0,192.0,372.0,108.0,0.6000000000000000,488.40000000000000,49.200000000000000,286.20000000000000,19.800000000000000,69.0,22.800000000000000,64384.0,124744.0,36216.0,201.20000000000000,163776.80000000000,16498.400000000000,95972.40000000000,6639.600000000000,23138.0,7645.600000000000,1984.0,576.0,3.2,2604.8,262.4,1526.4,105.6,368.0,121.6,1116.0,6.2,5046.8,508.4,2957.4,204.6,713.0,235.6,1.8,1465.2,147.6,858.6,59.4,207.0,68.40000000000000,8.14,0.82,4.7700000000000000,0.33,1.1500000000000000,0.38,667.48,3882.7800000000000,268.62,936.1,309.32,391.14,27.060000000000000,94.3,31.160000000000000,157.41,548.5500000000000,181.26,37.950000000000000,12.54,43.700000000000000,fire
24,6,2012,32,66,17,0.0,85.9,11.2,55.8,5.6,14.9,7.5,144.0,48288.0,768.0,1584.0,408.0,0.0,2061.6000000000000,268.80000000000000,1339.2000000000000,134.40000000000000,357.6,180.0,12072.0,192.0,396.0,102.0,0.0,515.4000000000000,67.20000000000000,334.80000000000000,33.600000000000000,89.4,45.0,64384.0,132792.0,34204.0,0.0,172830.80000000000,22534.400000000000,112269.60000000000,11267.200000000000,29978.8,15090.0,2112.0,544.0,0.0,2748.8,358.4,1785.6,179.2,476.8,240.0,1122.0,0.0,5669.400000000000,739.2000000000000,3682.8000000000000,369.60000000000000,983.4,495.0,0.0,1460.3000000000000,190.40000000000000,948.6000000000000,95.20000000000000,253.3,127.5,0.0,0.0,0.0,0.0,0.0,0.0,962.08,4793.22,481.04,1279.91,644.25,624.9600000000000,62.72000000000000,166.88,84.0,312.48000000000000,831.42,418.5,83.44,42.0,111.75,fire
25,6,2012,31,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4,150.0,50300.0,775.0,1600.0,375.0,0.0,2167.5,355.0,1595.0,142.5,457.5,210.0,12072.0,186.0,384.0,90.0,0.0,520.2,85.20000000000000,382.80000000000000,34.2,109.80000000000000,50.400000000000000,62372.0,128768.0,30180.0,0.0,174440.4,28570.400000000000,128365.60000000000,11468.4,36819.6,16900.8,1984.0,465.0,0.0,2687.7000000000000,440.2,1977.8,176.70000000000000,567.3000000000000,260.40000000000000,960.0,0.0,5548.8,908.8,4083.2,364.8,1171.2,537.6,0.0,1300.5,213.0,957.0,85.5,274.5,126.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.1400000000000,5531.46,494.19000000000000,1586.6100000000000,728.2800000000000,905.9600000000000,80.94,259.86,119.28,363.66000000000000,1167.54,535.92,104.31,47.88,153.72,fire
26,6,2012,31,64,18,0.0,86.8,17.8,71.8,6.7,21.6,10.6,156.0,52312.0,806.0,1664.0,468.0,0.0,2256.8000000000000,462.8,1866.8,174.20000000000000,561.6,275.60000000000000,12072.0,186.0,384.0,108.0,0.0,520.8,106.80000000000000,430.80000000000000,40.2,129.60000000000000,63.600000000000000,62372.0,128768.0,36216.0,0.0,174641.6,35813.6,144461.6,13480.4,43459.200000000000,21327.2,1984.0,558.0,0.0,2690.8000000000000,551.8000000000000,2225.8000000000000,207.70000000000000,669.6,328.60000000000000,1152.0,0.0,5555.2,1139.2,4595.2,428.8,1382.4,678.4,0.0,1562.4000000000000,320.40000000000000,1292.4000000000000,120.60000000000000,388.8,190.80000000000000,0.0,0.0,0.0,0.0,0.0,0.0,1545.04,6232.24,581.56,1874.88,920.0800000000000,1278.04,119.26,384.48,188.68,481.06,1550.88,761.0800000000000,144.72000000000000,71.02,228.96,fire
27,6,2012,34,53,18,0.0,89.0,21.6,80.3,9.2,25.8,15.0,162.0,54324.0,918.0,1431.0,486.0,0.0,2403.0,583.2,2168.1,248.40000000000000,696.6,405.0,12072.0,204.0,318.0,108.0,0.0,534.0,129.60000000000000,481.80000000000000,55.200000000000000,154.8,90.0,68408.0,106636.0,36216.0,0.0,179068.0,43459.200000000000,161563.6,18510.400000000000,51909.6,30180.0,1802.0,612.0,0.0,3026.0,734.4000000000000,2730.2,312.80000000000000,877.2,510.0,954.0,0.0,4717.0,1144.8000000000000,4255.9,487.60000000000000,1367.4,795.0,0.0,1602.0,388.8,1445.4000000000000,165.6,464.40000000000000,270.0,0.0,0.0,0.0,0.0,0.0,0.0,1922.4,7146.7,818.8,2296.2000000000000,1335.0,1734.48,198.72,557.2800000000000,324.0,738.7600000000000,2071.74,1204.5,237.36000000000000,138.0,387.0,fire
28,6,2012,32,55,14,0.0,89.1,25.5,88.5,7.6,29.7,13.9,168.0,56336.0,896.0,1540.0,392.0,0.0,2494.8000000000000,714.0,2478.0,212.80000000000000,831.6,389.2,12072.0,192.0,330.0,84.0,0.0,534.6000000000000,153.0,531.0,45.600000000000000,178.2,83.4,64384.0,110660.0,28168.0,0.0,179269.20000000000,51306.0,178062.0,15291.200000000000,59756.4,27966.8,1760.0,448.0,0.0,2851.2,816.0,2832.0,243.2,950.4,444.8,770.0,0.0,4900.5,1402.5,4867.5,418.0,1633.5,764.5,0.0,1247.4000000000000,357.0,1239.0,106.40000000000000,415.8,194.6,0.0,0.0,0.0,0.0,0.0,0.0,2272.0500000000000,7885.350000000000,677.16,2646.27,1238.49,2256.75,193.80000000000000,757.35,354.45,672.6,2628.45,1230.15,225.72000000000000,105.64,412.83,fire
